Pic;Set Code;Set Name;#;Edizione della carta;Note;Release Date;Have;Line ID
14;CES;Celestial Storm;110/168;Regular;;03/08/2018;x;EN_34
14;CES;Celestial Storm;110/168;Reverse;;03/08/2018;x;EN_35
15;DAA;Darkness Ablaze;137/189;Regular;;04/08/2020;x;EN_36
15;DAA;Darkness Ablaze;137/189;Reverse;;04/08/2020;x;EN_37
16;FST;Fusion Strike;207/264;Regular;;12/11/2021;x;EN_38
16;FST;Fusion Strike;207/264;Reverse;;12/11/2021;x;EN_39
16;PPS2 FST;Prize Pack Series 2;207/264;Regular;;19/01/2023;x;EN_40
17;CRZ;Crown Zenith;GG23/GG70;Trainer Gallery;;20/01/2023;x;EN_41
18;PAL;Paldea Evolved;156/193;Regular;;09/06/2023;x;EN_42
18;PAL;Paldea Evolved;156/193;Reverse;;09/06/2023;x;EN_43
19;PAL;Paldea Evolved;157/193;Regular;;09/06/2023;x;EN_44
19;PAL;Paldea Evolved;157/193;Reverse;;09/06/2023;x;EN_45
20;PAL;Paldea Evolved;229/193;Trainer Gallery;;09/06/2023;;EN_46
3;CLC;Pokemon TCG Classic;015/034;Regular;;17/11/2023;x;EN_47
21;TEF;Temporal Forces;128/162;Regular;;22/03/2024;x;EN_48
21;TEF;Temporal Forces;128/162;Reverse;;22/03/2024;x;EN_49
22;TEF;Temporal Forces;129/162;Regular;;22/03/2024;x;EN_50
22;TEF;Temporal Forces;129/162;Reverse;;22/03/2024;x;EN_51
21;PRE;Prismatic Evolution;079/131;Regular;;17/01/2025;;EN_52
21;PRE;Prismatic Evolution;079/131;Reverse;;17/01/2025;;EN_53
21;PRE;Prismatic Evolution;079/131;Reverse Pokeball;;17/01/2025;;EN_54
21;PRE;Prismatic Evolution;079/131;Reverse Masterball;;17/01/2025;;EN_55
22;PRE;Prismatic Evolution;080/131;Regular;;17/01/2025;;EN_56
22;PRE;Prismatic Evolution;080/131;Reverse;;17/01/2025;;EN_57
22;PRE;Prismatic Evolution;080/131;Reverse Pokeball;;17/01/2025;;EN_58
22;PRE;Prismatic Evolution;080/131;Reverse Masterball;;17/01/2025;;EN_59
23;JTG;Journey Togheter;120/159;Regular;;28/03/2025;;EN_60
23;JTG;Journey Togheter;120/159;Reverse;;28/03/2025;;EN_61
24;JTG;Journey Togheter;121/159;Regular;;28/03/2025;;EN_62
25;JTG;Journey Togheter;120/159;Full Art;;28/03/2025;;EN_63
26;ASC;Ascended Heroes;163/159;Regular;;28/03/2025;;EN_64
26;ASC;Ascended Heroes;163/159;Pokeball;;28/03/2025;;EN_65
26;ASC;Ascended Heroes;163/159;Energy;;28/03/2025;;EN_66
27;ASC;Ascended Heroes;164/217;Regular;;28/03/2025;;EN_67
